  ,🔲,🔲,⬛,⬛,⬛,⬛,🔲,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,🔲,🔲,🔲,🔲,⬛,🔲,  ,🔲,🔲,⬛,🔲,🔲,🔲,  
  ,🔲,🔲,🪑,⬛,⬛,⬛,🔲,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,🔲,  ,  ,🔲,⬛,🔲,  ,  ,🔲,📦,🔲,  ,  ,  
  ,🔲,🔲,📦,⬛,⬛,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,🔲,🔲,🔲,🔲,⬛,🔲,  ,  ,  
  ,🔲,🔲,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,🔲,🔲,  ,  
  ,🔲,🔲,📦,⬛,⬛,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,  ,  
  ,🔲,🔲,🪑,⬛,⬛,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,⬛,⬛,📦,⬛,⬛,⬛,⬛,⬛,🔲,🔲,  ,  ,  
  ,🔲,🔲,⬛,⬛,⬛,⬛,🔲,🔲,  ,  ,  ,  ,  ,🔲,🔲,📦,📦,⬛,📦,📦,⬛,📦,📦,⬛,🔲,🔲,  ,  ,  
  ,🔲,🔲,🔲,🔲,🟫,🔲,🔲,🔲,  ,  ,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,⬛,⬛,⬛,📦,⬛,⬛,🔲,  ,  ,  ,  
  ,🔲,🔲,🔲,🔲,🟫,🔲,🔲,🔲,  ,  ,  ,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,  ,  ,  ,  
  ,  ,  ,  ,🔲,🟫,🔲,  ,  ,  ,  ,  ,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
